cyc    3-2
  address , data
0x00000000, 0x00000093
0x00000004, 0x00000113
0x00000008, 0x00000193
0x0000000c, 0x00000213
0x00000010, 0x00000293
0x00000014, 0x00000313
0x00000018, 0x00000393
0x0000001c, 0x00000413
0x00000020, 0x00000493
0x00000024, 0x00000513
0x00000028, 0x00000593
0x0000002c, 0x00000613
0x00000030, 0x00000693
0x00000034, 0x00000713
0x00000038, 0x00000793
0x0000003c, 0x00000813
0x00000040, 0x00000893
0x00000044, 0x00000913
0x00000048, 0x00000993
0x0000004c, 0x00000a13
0x00000050, 0x00000a93
0x00000054, 0x00000b13
0x00000058, 0x00000b93
0x0000005c, 0x00000c13
0x00000060, 0x00000c93
0x00000064, 0x00000d13
0x00000068, 0x00000d93
0x0000006c, 0x00000e13
0x00000070, 0x00000e93
0x00000074, 0x00000f13
0x00000078, 0x00000f93
0x0000007c, 0x00011197
0x00000080, 0x78418193
0x00000084, 0x00011517
0x00000088, 0xf7c50513
0x0000008c, 0x00011597
0x00000090, 0xf7058593
0x00000094, 0x00000613
0x00000098, 0x094000ef
0x0000009c, 0x00011517
0x000000a0, 0xf6450513
0x000000a4, 0x00011597
0x000000a8, 0xf5858593
0x000000ac, 0x00000613
0x000000b0, 0x07c000ef
0x000000b4, 0x00011517
0x000000b8, 0xf4c50513
0x000000bc, 0x00012597
0x000000c0, 0xf4058593
0x000000c4, 0x00000613
0x000000c8, 0x064000ef
0x000000cc, 0x00012117
0x000000d0, 0xf3410113
0x000000d4, 0x00010517
0x000000d8, 0xf2c50513
0x000000dc, 0x00011597
0x000000e0, 0xf2058593
0x000000e4, 0x00000613
0x000000e8, 0x044000ef
0x000000ec, 0x054000ef
0x000000f0, 0x00010517
0x000000f4, 0xf1050513
0x000000f8, 0x00001597
0x000000fc, 0xae058593
0x00000100, 0x00001617
0x00000104, 0xb9060613
0x00000108, 0x40b60633
0x0000010c, 0x00265613
0x00000110, 0x23d000ef
0x00000114, 0x00011297
0x00000118, 0xee828293
0x0000011c, 0x00100313
0x00000120, 0xfea2ae23
0x00000124, 0x0062a023
0x00000128, 0x0000006f
0x0000012c, 0x00a5e863
0x00000130, 0x00c52023
0x00000134, 0x00450513
0x00000138, 0xff5ff06f
0x0000013c, 0x00008067
0x00000140, 0xffc10113
0x00000144, 0x00812023
0x00000148, 0x00010417
0x0000014c, 0xeb840413
0x00000150, 0xfff00293
0x00000154, 0xfff00313
0x00000158, 0x006282b3
 ~
0x00000168, 0x006282b3
0x0000016c, 0xffe00313
0x00000170, 0x005302b3
 ~
0x00000180, 0x005302b3
0x00000184, 0x00542023
0x00000188, 0x00440413
0x0000018c, 0x00000293
0x00000190, 0xfff00313
0x00000194, 0x406282b3
 ~
0x000001a4, 0x406282b3
0x000001a8, 0xffd00313
0x000001ac, 0x405302b3
 ~
0x000001bc, 0x405302b3
0x000001c0, 0x00542023
0x000001c4, 0x00440413
0x000001c8, 0x00100293
0x000001cc, 0x00100313
0x000001d0, 0x006292b3
 ~
0x000001e0, 0x006292b3
0x000001e4, 0x00200313
0x000001e8, 0x005312b3
 ~
0x000001f8, 0x005312b3
0x000001fc, 0x00542023
0x00000200, 0x00440413
0x00000204, 0xfff00293
